id	sentiment	review
12098_4	0	"I rented this shortly after renting Ben Stein's \Expelled\"" and thought it would interesting to compare them. Before I go further, it seems only fair that I point out the following so a reader can see if I'm prejudiced or not. I'm trying to be objective, for the record.<br /><br />I tend to enjoy Maher's HBO show now and then, though I rarely think he's the source of the humor. I don't really care for his stand-up either. But he makes some good points on the show now and again, and I liked Politically Incorrect, though he was still fairly politically correct (which I deem a negative because the very term sounds Orwellian or at least fascist). As for my religious views, I'll say for simplicity's sake that I'm a non-denom. Christian with some views that are objectivist and some that are agnostic mixed in.<br /><br />That being said, this a bad \""documentary\"" for reasons that haven't been touched on yet by many reviewers--though the ones mentioned are valid too. The reason it's not convincing isn't just that he argues the main point without letting others talk (and his point boils down to nothing logical either, it's just \""come on, really?\"" which isn't a point, just a question. Try David Hume if you want a decent argument.). The reason this isn't convincing lies in his lack of experts on the subject matter. I saw this about 2 months ago and I only recall him talking to one person whose credentials as a professional were mentioned if he wasn't a clergyman. There are probably hundreds of scientists or at least professors with Masters or Doctorates willing to do a bit of verbal sparring, particularly in the fields of History, Anthropology or a host of others.<br /><br />If one compares this to Ben Stein's \""Expelled: No Intelligence Allowed\"" he'll find that Stein interviews about 30 credentialed professors, professionals, clergy, etc. He does this with a variety of sources with various backgrounds. He also makes a point in his film regarding freedom of thought and education. Maher could easily have pointed out wrongs committed by theocratic rules throughout centuries or persecutions from this. Instead he idiotically refers to the 20th century's secular totalitarian regimes as evidence of why secularism needs more socio-political power!!!! (it's in the bonus features where he's standing in front of the Anne Frank house I think.) This is a true Orwellian head-trip. He blames Christianity in particular on many pointless deaths--which has had its share, though far smaller than most!!--without even including a basic view of the evidence. Perhaps this is because that argument is dwarfed by secular humanism's miserable record of the 20th Century ALONE.<br /><br />Another glaring weakness is his unwillingness to talk to anyone that would be considered a moderate or \""average\"" practitioner. He picks out the weakest gazelles of the herd. How difficult is that? How does proving the existence of exceptions move toward disproving the general rule? It does not. Wow, so people in cults think outside of the norm? How enlightening to know this. Great work Maher! Again, it would be fairly easy to interview someone like Laurence Vance and include his work on refuting the idea of \""patriotic duty\"" that demands a person fight in any war his country is involved in.<br /><br />Beyond all that, he's just not that funny here. Some of the clips that are overlaid in \""clever\"" out of context/irreverent ways might garner a laugh, but mostly work to illustrate how a real contextual argument from Maher will NOT be forthcoming, much less convincing. He spends most of his time bashing Christians, spouting inaccuracies, and interviewing fringe groups that he doesn't allow to really answer his questions.<br /><br />For the record, there are good questions to honestly ask of religious folks and many they should ask of themselves. He touches on almost none of these. I get the feeling that I could've responded much better to most of his questioning than the people he interviewed, but the whole thing reeks of deck-stacking in terms of what is included and what was edited out."""
8716_1	0	"I don't know where to start; the acting, the special effects and the writing are all about as bad as you can possibly imagine. I can't believe that the production staff reached a point where they said, \Our job is done, time for it's release\"". I'm just glad the first two in the series never made it as far as the UK. I would actually recommend watching this film just so you can appreciate how well made most films are.<br /><br />I don't know how any of the other IMDb users could find it scary when the \""terrifying\"" dinosaurs waddle down corridors with rubber arms flailing around."""
2508_4	0	"About time they released this movie on DVD. I know some say WB rush the release of this movie because of The Dreamgirls movie. But, how can you rush the release of a movie that's been in you catalog since 1976.<br /><br />I'm very disappointed with the DVD release of this movie, no special feature, no 5.1 DD sound. come on WB, you can do much better then this. The audio and picture quality on this movie needs some serious help.<br /><br />Seem WB didn't place as much time and attention to this movie because it is a black movie and my have okay sales. They could have kept the CD which by the way dose not have all the songs the original CD has. <br /><br />Would I recommend this DVD for purchase. Yes, because it is a classic film. But WB need to go add some more special feature. Take notes from other group movies, The Five Heatbeats, or The Temptation were you may view just the performance, and the sound on both are much, much, much better than this DVD."
6907_2	0	"No artful writeup here because it doesn't deserve one. Not an art film. Not even one of those 'hidden' gems. You know, like those movies you hear about through a friend who saw this amazing movie downtown where they show all the good independents and art films.<br /><br />Just pack it into the christmas boxes, and dispose of quickly."
1966_1	0	"I was duped into seeing this movie after reading a positive review from another website and man was I p.o'd!!! it took me at least 15 minutes to pick it up off the shelf b/c I didn't want anyone to see me. then another 10 minutes to build the courage to take it to the counter and actually use real money to rent it. I thought that all my stress would pay off by the time I got home to and watching the movie b/c the review I read said the movie was a pleasant surprise; what a joke! if you can make it through the first hour of the movie then your in luck! b/c it's not until then the movie turn's into a horror. don't bother with this one folks, your better off watching \dankness falls\"""""
2434_8	1	"I've often wondered just how much CASPER was meant for children...with all the issues revolving around his identity (in this film we are lead to believe that he is the spirit of a dead child, as his home is a cemetery plot), as well as the disturbing message brought by this particular film. Maybe Casper was meant more as a morality play, or Famous Studios felt like breaking new ground in 'reality' cartoons.<br /><br />THERE'S GOOD BOOS TONIGHT is a well-animated project-no doubt there. But, the plot development involving the fox (who becomes Casper's friend, but meets a tragic end) is a concern.<br /><br />Give Famous Studios credit--they tackle death with respect...but, the stark image of Casper's mourning is rather graphic and disturbing for children (though the denouement does offer a happy ending, but I won't give away the ending), and the violence is rather steep, even for 1940's standards.<br /><br />This might be a good cartoon for parents to use in helping explain death to children--but I wouldn't pop it into the VCR for a perky cartoon break."
10311_9	1	"Jim Carrey is back to much the same role that he played in The Mask, a timid guy who is trying to get ahead in the world but who seems to be plagued with bad luck. Even when he tries to help a homeless guy from being harassed by a bunch of hoodlums (and of course they have to be Mexican, obviously), his good will towards his fellow man backfires. In that case, it wasn't too hard to predict that he was about to have a handful of angry hoodlums, but I like that the movie suggests that things like that shouldn't be ignored. I'm reminded of the episode of Michael Moore's brilliant The Awful Truth, when they had a man lay down on the sidewalk and pretend to be dead and see who would actually stop and make sure he was okay. The results were not very promising, so it's nice to see someone in the movies setting a good example.<br /><br />Jim Carrey plays the part of Bruce Nolan, the nice guy mentioned above whose entire life seems to be falling apart. Or even better, it seems to be breaking up by the blows of bad luck like an asteroid entering the atmosphere (a little metaphor that comes up when Bruce miraculously finds himself a gigantic news story later in the film). Bruce is nearly 40 years old and all he has to show for it is a position as a news reporter of the sort that reports on such exciting news as the local bakery that's seeking to bake the world's biggest cookie. He's desperate to obtain the job of head anchor at the TV station, but he loses his cool on live TV when he hears that the job went to his rival colleague. You have to love how they time the revelation of this news to him seconds before his first live report. Needless to say, he loses his temper on live TV in one of the funniest scenes of the entire film.<br /><br />Morgan Freeman delivers a fantastic performance as the Man himself, displaying a God whose infinite wisdom is somewhat reflected through Freeman's massive talent as an actor. He is the kind of God who takes his job very seriously, but in such a way as to advise his followers (as well as the viewers of this movie) that there are times when you need to slow down and do some manual labor in life. I love his line that some of the happiest people in the world come home smelling to high heaven at the end of the day. There are a lot of people in the world (maybe more than our share in America) who are so absorbed by their money and their possessions and their jobs and everything that they completely lost touch with the natural side of themselves as humans.<br /><br />One of the biggest strengths is that the movie is able to provide great advice to people in general about improving their lives, and this message is clear and acceptable regardless of the viewer's religion. I, for example, tend to reject organized religion in all forms and I see God and Satan to be metaphors for different aspects of nature and human psychology rather than actual figures who ever lived or continue to live. But despite the fact that I don't believe that God exists as an entity overseeing the universe or as a janitor dressed all in white who mops the floors of his downtown office in his spare time, I was able to appreciate the messages that were delivered in this movie.<br /><br />Jim Carrey's movies display this fantastic evolution that ties them all together and makes the newer ones look even better just because you can see how far he's come. If you compare Bruce Almighty with movies like Ace Ventura (both of which I loved, by the way) or a lot of what he did before he got into film, it's amazing how far he's come. He has moved from cheesy TV comedy to cheesy comedic films to comedies that are truly intelligent and meaningful like this film as well as others like The Truman Show, Man on the Moon, and The Majestic (easily one of his greatest films ever). Jim Carrey has unmistakably moved from the cheesy comedy of his past to become one of the most important comic actors working today.<br /><br />Jennifer Aniston also once again provides an excellent addition to the movie (as she did in the side-splitting Office Space) as Bruce's girlfriend, who becomes increasingly exasperated by Bruce's growing stress about his life as well as his negligence to ask her to marry him. There is definitely some low-brow comedy in the film that doesn't really fit with the importance of the film's meaning or the quality of the delivery, such as the dog reading the newspaper on the toilet and the whole monkey scene, but it was definitely pretty nice to see Ace Ventura's friend Spike make a cameo appearance. As Stephen King very well knows, it's always nice to see familiar characters. It's almost like seeing family again.<br /><br />Bruce is endowed with the powers of God for a given period of time so that he can understand life a bit better, and he says a lot about himself when he uses the powers only for his own purposes rather than to help all of the people who pray to him. The thing I love about this is that, like I said before, religion is absent from my life, but I was able to watch this and learn a lot about myself as well by thinking about what kinds of things I would have done had I been endowed with such powers. The movie allows us to learn vicariously this way, which empowers the message even more.<br /><br />The scenes that involve the news station are easily the funniest in the entire film, such as the scene when Bruce loses his temper about the anchor position, the Jimmy Hoffa scene (who was conveniently buried with an original birth certificate and a complete set of dental records), the scene where Bruce's rival colleague is made to go nuts on camera, and my favorites, the ones at the beginning and the end involving the local bakery's cooking. The movie has plenty of time for Carrey to deliver some excellent jokes, such as when he says to God (who reveals that he's the janitor, the proprietor, the electrician, etc) that his Christmas parties must be real bashes, and to be careful about drinking, because on of him might need a ride home! I also loved the end when he says that behind every great man is a woman rolling her eyes. A little too true, and as Gallagher would add, behind every great man is also an amazed mother-in-law.<br /><br />Bruce Almighty is one of the more memorable comedies to have come out for quite a while, and is probably the only directly religious that I can remember seeing that I am anxious to buy on DVD to add to my personal collection. It is a comedy written and performed in good taste, but with enough relatively low-brow humor to keep the kids entertained. This is a meaningful comedy for the whole family, which is becoming rarer and rarer these days. In a world that is about to be flogged with yet another American Pie film AND another Scary Movie (which are only scary because of their sheer barbarous idiocy), it's nice to see that there are still people making comedies worth watching. Don't miss this one."
10785_10	1	"I saw that when I was little and it was excellent. Kelsey White as Lisa and the Meecy Mices where cute. Susan Bonde as Doodle and Sandra Dee Heidecke as Snoodle where Hilarius. Karen Boettcher-Tate as Profster was interesting. Burl Ross as Little Bunny Foo Foo was funny. Gregory Donavon as Kaiso was brilliant. Whats Hilarius that Snoodle and Doodle eat too much candy. Whats sad that Little Bunny Foo Foo that bops the Meecy Mices on the head then by a fairy will give Little Bunny Foo Foo few wishes then he turns into goon. This story is about when Lisa, Snoodle, Doodle go to the Big Rock Candy Mountains. This show is excellent the kids will like this show, new words, songs, and watching them playing."
4079_9	1	"I first saw this film when I was about 8 years old on TV in the UK (where it was called \Laupta: The Flying Island\""). I absolutely loved it, and was heartbroken when it was repeated a while later and I missed it. I was enchanted by the story and characters, but most of all by the haunting and beautiful music. It would have been the original English dubbed version which I saw - sometimes erroneously referred to as the \""Streamline Dub\"" (the dub was actually by Ghibli themselves and only distributed by Streamline) which is sadly unavailable except as part of a ridiculously expensive laser disc box-set.<br /><br />Unfortunately I feel that the release has been partly spoiled by Disney. The voice acting is OK but the dialogue doesn't have the same raw energy that the \""streamline\"" dub or the original Japanese had, and I think James Van Der Beek sounds too old to play the lead. They have made some pointless alterations, such as changing the main character's name from \""Pazu\"" to \""Patzu\"", and added some dialogue. But worst of all I feel that they have ruined many scenes with intrusive music - the opening scene of the airships for example was originally silent but has been spoiled thanks to Disney's moronic requirement that there be music playing whenever anyone is not speaking, which I find annoying in many Disney films.<br /><br />This film still blows away most recent animated films, and I cannot recommend it highly enough. The plot is simple yet captivating and the film shows a flair which is sadly missing from most modern mass-market, homogenized animation."""
9125_10	1	"And I really mean that. I caught it last night on Vh1, and I was not expecting it to be so good. This is now one of my favorites. I must add that it has a killer soundtrack."
